super_replicate;replicate;strain_no;strain;ethanol;broodsize;date;person_counting;comment
1;2;14;NIC526;400;177;30-10-2024;Rick;
1;2;15;QX1794;0;431;30-10-2024;Rick;
1;2;15;QX1794;0;660;30-10-2024;Rick;
1;2;15;QX1794;0;701;30-10-2024;Rick;
1;2;15;QX1794;100;222;30-10-2024;Rick;
1;2;15;QX1794;100;366;30-10-2024;Rick;
1;2;15;QX1794;100;467;30-10-2024;Rick;
1;2;15;QX1794;200;213;30-10-2024;Rick;
1;2;15;QX1794;200;197;30-10-2024;Rick;
1;2;15;QX1794;200;5;30-10-2024;Rick;
1;2;15;QX1794;300;374;30-10-2024;Rick;
1;2;15;QX1794;300;83;30-10-2024;Rick;
1;2;15;QX1794;300;283;30-10-2024;Rick;
1;2;15;QX1794;400;94;30-10-2024;Rick;
1;2;15;QX1794;400;108;30-10-2024;Rick;
1;2;15;QX1794;400;176;30-10-2024;Rick;
1;2;16;XZ1516;0;636;30-10-2024;Rick;
1;2;16;XZ1516;0;233;30-10-2024;Rick;
1;2;16;XZ1516;0;542;30-10-2024;Rick;
1;2;16;XZ1516;100;413;30-10-2024;Lisa;
1;2;16;XZ1516;100;326;30-10-2024;Lisa;
1;2;16;XZ1516;100;287;30-10-2024;Lisa;
1;2;16;XZ1516;200;124;30-10-2024;Lisa;
1;2;16;XZ1516;200;2;30-10-2024;Lisa;
